*Action(SiteID=Italy|Country=IT|Currency=EUR|Version=745|CC=UTF-8);ItemID;*StartPrice
Revise;200868128338;130.003
Revise;111149499180;410.652
Revise;111279143977;501.739
Revise;161028322350;258.354
Revise;111116481777;56.204
Revise;111075335061;124.917
Revise;161028322215;167.826
Revise;160943514090;189.502
Revise;161199398090;140.217
Revise;161031645110;119.298
Revise;200868127822;78.458
Revise;111148946949;133.956
Revise;160943512633;836.429
Revise;160943513516;319.737
Revise;160943513139;294.095
Revise;111073072632;443.592
Revise;111116481087;130.737
Revise;161027258354;58.779
Revise;160943513229;59.566
Revise;200868128017;242.658
Revise;161028322998;74.918
Revise;160943514259;62.966
Revise;161031645464;162.601
Revise;161039096841;58.926
Revise;111100042816;51.957
Revise;161030855663;149.328
Revise;160943513902;72.982
Revise;161091035064;90.885
Revise;111088842024;229.034
Revise;161031645187;222.235
Revise;111257838395;195.871
Revise;111073878052;73.705
Revise;161028322748;119.761
Revise;111080685188;94.502
Revise;200868127998;82.379
Revise;111073072425;288.188
Revise;160943514240;110.715
Revise;161186510921;746.737
Revise;161039118797;71.709
Revise;161031645180;470.059
Revise;161199397555;115.394
Revise;111100043897;210.901
Revise;111073652668;56.784
Revise;111073627123;242.277
Revise;111073653281;94.867
Revise;111100043115;102.821
Revise;161031645204;360.583
Revise;200868129297;351.667
Revise;160943514041;217.521
Revise;200868129327;108.885
Revise;160943514344;113.966
Revise;200868129158;250.228
Revise;160943514148;108.885
Revise;200868129393;269.537
Revise;200868129447;76.053
Revise;200868127965;460.419
Revise;161224634903;57.114
Revise;111075334857;83.204
Revise;111073072720;206.548
Revise;200868128306;334.463
Revise;161186510961;150.133
Revise;111100043955;364.905
Revise;111100043847;1262.732
Revise;161026521093;897.417
Revise;111073072051;271.307
Revise;111116480811;89.212
Revise;161199397602;417.679
Revise;161033024904;54.982
Revise;161026519321;55.229
Revise;111080685035;101.518
Revise;200868128247;70.068
Revise;111079206920;56.309
Revise;161028322258;118.408
Revise;161030855487;383.915
Revise;161340050096;101.882
Revise;111257838297;54.443
Revise;200868128224;88.041
Revise;111100043459;250.777
Revise;111247666762;50.051
Revise;200868129444;254.687
Revise;200868129136;676.974
Revise;160943514152;160.423
Revise;200868129409;135.349
Revise;200868129462;124.522
Revise;160943514040;233.636
Revise;160943514337;70.536
Revise;161026519454;192.808
Revise;111073878061;82.317
Revise;111073878065;1035.227
Revise;160943514316;91.235
Revise;111075334811;115.229
Revise;160943514236;105.815
Revise;200868128369;297.888
Revise;161027257745;4327.803
Revise;161340050200;63.757
Revise;111075335778;51.122
Revise;111073071890;110.715
Revise;111116480803;77.206
Revise;161027258869;178.826
Revise;111149499321;146.428
Revise;161026520321;65.001
Revise;200868128986;328.186
Revise;200868128805;361.583
Revise;160943513846;124.244
Revise;111100043908;174.211
Revise;111080685073;99.844
Revise;111100042840;134.834
Revise;161026519263;50.659
Revise;161031644913;115.831
Revise;111073070501;50.659
Revise;161026519284;50.659
Revise;161091035080;51.441
Revise;161026519296;127.093
Revise;161199397281;80.971
Revise;111096883161;61.707
Revise;111100042728;185.488
Revise;111257837989;80.376
Revise;111257837744;108.531
Revise;111073070655;104.008
Revise;111073073008;79.953
Revise;111073070597;54.854
Revise;160943513843;135.756
Revise;160943514004;80.066
Revise;200868128695;81.032
Revise;160943514163;238.946
Revise;160943513486;276.234
Revise;160943513580;53.582
Revise;200868128822;208.224
Revise;160943513856;57.666
Revise;111100043164;50.316
Revise;111257838329;147.333
Revise;111131950340;54.387
Revise;200868128241;71.445
Revise;111075334673;315.276
Revise;111100042829;112.614
Revise;200868128750;91.197
Revise;111079206438;120.516
Revise;111100044412;50.752
Revise;111116481136;69.842
Revise;161026518731;152.779
Revise;111073877405;259.268
Revise;161199398651;65.311
